,frame,x,y,Bra_ratio,type,Class,min_row,min_col,bar_orientation
0,62,824.744827586207,1734.9655172413793,0.41470284066476887,high,2.0,1570,802,vertical
1,62,814.5128205128206,1751.774358974359,0.4059974264875909,high,2.0,1570,802,vertical
2,62,845.76171875,1685.39453125,0.3420292511685778,high,1.0,1570,802,vertical
3,62,842.1923076923077,1694.923076923077,0.32087888841663886,high,1.0,1570,802,vertical
4,62,809.6156462585034,1737.6700680272108,0.8686582826122958,high,1.0,1570,802,vertical
5,62,834.2325581395348,1740.2286821705427,0.3620352276695189,high,2.0,1570,802,vertical
6,62,820.0719424460432,1613.6906474820144,0.32252088288183767,high,2.0,1570,802,vertical
7,62,826.9203187250996,1754.422310756972,0.38935696730468466,high,2.0,1570,802,vertical
8,62,811.9308510638298,1675.7553191489362,0.35870981576142724,high,1.0,1570,802,vertical
9,62,812.8352941176471,1754.0313725490196,0.3527274570027277,high,2.0,1570,802,vertical
10,62,827.6277777777777,1707.5166666666669,0.3211525040244431,high,1.0,1570,802,vertical
11,62,829.0073529411765,1767.0551470588234,0.4808175839267114,high,2.0,1570,802,vertical
12,62,825.2,1627.7185185185183,0.37422304245518717,high,2.0,1570,802,vertical
13,62,819.6625,1623.5541666666666,0.4923661585051299,high,2.0,1570,802,vertical
14,62,824.1666666666666,1756.3072916666667,0.3132888865739535,high,2.0,1570,802,vertical
15,62,811.7188498402556,1735.5303514376997,0.3698812870493477,high,2.0,1570,802,vertical
16,62,824.4606741573034,1744.7003745318352,0.4259385763393414,high,2.0,1570,802,vertical
17,62,805.6286764705883,1658.9191176470588,0.3335843220917822,high,2.0,1570,802,vertical
18,62,836.0261437908497,1667.9150326797385,0.4398964332641101,high,2.0,1570,802,vertical
19,62,834.6149584487534,1651.5567867036011,0.4176256699245662,high,2.0,1570,802,vertical
20,62,819.4406779661017,1644.7033898305085,0.46135371597979735,high,2.0,1570,802,vertical
21,62,814.9240506329114,1629.957805907173,0.46468118558840155,high,2.0,1570,802,vertical
22,62,821.2727272727273,1761.0,0.4137069997693807,high,2.0,1570,802,vertical
23,62,827.9471153846154,1664.3365384615386,0.4237456410162398,high,1.0,1570,802,vertical
