,frame,x,y,Bra_ratio,type,Class,min_row,min_col,bar_orientation
0,30,768.0980392156863,425.1813725490196,0.6616015659026743,high,2.0,403,654,horizontal
1,30,898.3053691275168,429.8657718120805,0.5755455538513544,high,2.0,403,654,horizontal
2,30,806.0825242718447,426.8203883495146,0.6241233253994622,high,1.0,403,654,horizontal
3,30,718.4170212765957,429.1914893617021,0.5893909222132505,high,2.0,403,654,horizontal
4,30,792.6634615384615,410.86538461538464,0.6183930382375382,high,2.0,403,654,horizontal
5,30,801.3877551020408,444.26938775510206,0.5592559194134991,high,2.0,403,654,horizontal
6,30,746.7524429967426,428.7003257328991,0.6369229199878187,high,2.0,403,654,horizontal
7,30,977.3941908713692,416.8796680497925,0.8725053610460531,high,2.0,403,654,horizontal
8,30,892.7651006711409,419.2248322147651,0.5519179694617756,high,2.0,403,654,horizontal
9,30,765.2538461538461,433.9423076923077,0.6720275709795009,high,2.0,403,654,horizontal
10,30,759.3142857142857,425.6142857142857,0.5510220774546764,high,2.0,403,654,horizontal
11,30,813.2184466019418,425.7669902912621,0.5675929485234116,high,2.0,403,654,horizontal
12,30,701.6535433070866,434.46456692913387,0.6846545677794293,high,2.0,403,654,horizontal
13,30,702.981220657277,426.7464788732394,0.594170404389346,high,2.0,403,654,horizontal
14,30,967.5438596491229,433.0175438596491,0.660938776742575,high,2.0,403,654,horizontal
15,30,678.8611111111111,404.6111111111111,0.6918846852999369,high,1.0,403,654,horizontal
16,30,671.0643776824035,427.3261802575107,0.5893435953731208,high,2.0,403,654,horizontal
17,30,946.5656108597284,420.85067873303166,0.5482458724778626,high,2.0,403,654,horizontal
18,30,819.2346368715084,408.2625698324022,0.658634232636754,high,2.0,403,654,horizontal
19,30,873.5598290598291,406.04700854700855,0.6399043680553468,high,1.0,403,654,horizontal
20,30,979.8524590163936,438.7131147540984,0.5470340108770361,high,2.0,403,654,horizontal
21,30,953.56038647343,434.41062801932367,0.5898462358435475,high,2.0,403,654,horizontal
22,30,765.3622448979592,406.780612244898,0.5504555545034666,high,2.0,403,654,horizontal
23,30,910.6559139784946,441.97849462365593,0.594009339736418,high,2.0,403,654,horizontal
24,30,929.4518072289156,417.6385542168675,0.5498755791316083,high,1.0,403,654,horizontal
25,30,953.0629370629372,427.1468531468532,0.6410942395758014,high,2.0,403,654,horizontal
26,30,712.5294117647059,439.1654411764706,0.6878151478528006,high,2.0,403,654,horizontal
27,30,897.0841121495328,404.785046728972,0.5784198826695192,high,1.0,403,654,horizontal
28,30,913.8588235294118,408.04117647058825,0.6465261004626798,high,1.0,403,654,horizontal
29,30,936.6827586206896,407.7586206896552,0.6584092055524763,high,2.0,403,654,horizontal
30,30,783.9054054054054,441.6486486486487,0.6238464017710001,high,2.0,403,654,horizontal
31,30,678.6300578034682,430.11560693641616,0.5799896467518894,high,2.0,403,654,horizontal
32,30,750.6018518518518,419.5,0.5784579374001281,high,2.0,403,654,horizontal
33,30,682.1796875,415.8359375,0.5850364755635084,high,1.0,403,654,horizontal
34,30,692.8888888888889,423.3066666666667,0.6559524500252087,high,2.0,403,654,horizontal
35,30,757.4638783269962,424.7642585551331,0.6011602806260118,high,2.0,403,654,horizontal
36,30,876.1509433962265,428.00943396226415,0.7202716933308921,high,1.0,403,654,horizontal
37,30,802.9821428571429,422.8125,0.5973648868568058,high,2.0,403,654,horizontal
38,30,712.816037735849,422.08962264150944,0.5836779044676385,high,2.0,403,654,horizontal
39,30,908.75873015873,420.815873015873,0.5975983056296024,high,2.0,403,654,horizontal
40,30,780.5481171548117,426.581589958159,0.6174146323699001,high,2.0,403,654,horizontal
41,30,921.1275720164608,436.275720164609,0.829904788822197,high,2.0,403,654,horizontal
42,30,903.9320388349514,417.00970873786406,0.6432896942486594,high,2.0,403,654,horizontal
43,30,698.9244186046511,419.8546511627907,0.6696031967360874,high,1.0,403,654,horizontal
44,30,703.1523178807947,434.4039735099338,0.5823406314361574,high,1.0,403,654,horizontal
45,30,762.7845303867404,443.0497237569061,0.5534207473756889,high,2.0,403,654,horizontal
46,30,668.0227272727273,437.2681818181818,0.7251593815684105,high,2.0,403,654,horizontal
47,30,926.2628571428572,415.6057142857143,0.5986496903421806,high,2.0,403,654,horizontal
48,30,985.759493670886,417.15822784810126,0.6272684018114444,high,1.0,403,654,horizontal
49,30,686.3259668508288,433.9944751381216,0.7252622011768278,high,2.0,403,654,horizontal
50,30,854.7002457002457,419.8697788697789,0.582555155681518,high,1.0,403,654,horizontal
51,30,931.8947368421052,422.64912280701753,0.597319544085774,high,2.0,403,654,horizontal
52,30,950.8737864077668,411.5485436893204,0.5476127061685592,high,2.0,403,654,horizontal
53,30,747.914691943128,426.07582938388623,0.6702979131621954,high,2.0,403,654,horizontal
54,30,672.8551236749116,414.1378091872792,0.6445931459113937,high,2.0,403,654,horizontal
55,30,771.8264840182649,437.42009132420094,0.6004444769477075,high,2.0,403,654,horizontal
56,30,961.465,432.165,0.6675767545999595,high,1.0,403,654,horizontal
57,30,915.1851851851852,434.437037037037,0.6165604615865881,high,2.0,403,654,horizontal
58,30,664.1640211640212,420.1111111111111,0.7420003957221216,high,2.0,403,654,horizontal
59,30,904.7739726027396,409.1849315068493,0.6335995647570751,high,1.0,403,654,horizontal
60,30,713.9444444444445,418.95238095238096,0.6525518514289024,high,1.0,403,654,horizontal
61,30,939.6842105263158,432.9473684210527,0.5623975220595157,high,1.0,403,654,horizontal
62,30,834.828660436137,436.5856697819315,0.5726067552498265,high,2.0,403,654,horizontal
63,30,942.2904411764706,433.2977941176471,0.7368960718456458,high,2.0,403,654,horizontal
64,30,798.9497487437186,435.1608040201005,0.6673507654665402,high,2.0,403,654,horizontal
65,30,936.2857142857144,412.4017857142857,0.5959856404767404,high,1.0,403,654,horizontal
66,30,935.6801619433198,415.251012145749,0.5612667895960027,high,2.0,403,654,horizontal
67,30,755.0052631578948,433.7263157894737,0.6610077227100745,high,2.0,403,654,horizontal
68,30,896.4629629629629,442.6111111111111,0.5797509310330788,high,1.0,403,654,horizontal
69,30,701.24,414.43,0.6398951749653152,high,1.0,403,654,horizontal
70,30,775.515625,438.9921875,0.5697429970258816,high,1.0,403,654,horizontal
71,30,817.6666666666666,430.52,0.5622189272905801,high,1.0,403,654,horizontal
72,30,867.735632183908,436.8850574712644,0.7265050788971203,high,1.0,403,654,horizontal
73,30,722.989010989011,411.1025641025641,0.7057455790670623,high,2.0,403,654,horizontal
74,30,727.2417302798982,428.09923664122135,0.5786511596986077,high,2.0,403,654,horizontal
75,30,940.3968253968254,439.8253968253968,0.6473152319066162,high,2.0,403,654,horizontal
76,30,935.7898550724638,428.6739130434783,0.6222693369853404,high,2.0,403,654,horizontal
77,30,803.1146788990826,434.41284403669727,0.6299337885059106,high,2.0,403,654,horizontal
78,30,930.2522123893804,427.1637168141593,0.6857687731711833,high,2.0,403,654,horizontal
79,30,929.8832487309644,433.9086294416244,1.1812247858601816,high,2.0,403,654,horizontal
80,30,794.875,439.65277777777777,0.6162161367419718,high,2.0,403,654,horizontal
81,30,719.4817813765183,417.9311740890688,0.5973514077163712,high,2.0,403,654,horizontal
82,30,800.4252873563219,414.8793103448276,0.7136644581854215,high,2.0,403,654,horizontal
83,30,688.9465020576132,441.14814814814815,0.6139681649588333,high,2.0,403,654,horizontal
84,30,939.5744680851064,417.9148936170213,0.624282277342639,high,1.0,403,654,horizontal
85,30,767.0289855072464,420.84057971014494,0.5944710173202861,high,1.0,403,654,horizontal
86,30,701.6051873198847,420.7809798270893,0.6075589136417103,high,2.0,403,654,horizontal
87,30,930.6197183098592,436.09859154929575,0.6104784631013631,high,1.0,403,654,horizontal
88,30,936.44,442.8,0.5600239310784939,high,1.0,403,654,horizontal
89,30,854.8803418803419,440.2792022792023,0.7153363053452161,high,2.0,403,654,horizontal
90,30,699.04,446.0933333333333,0.6228959503524106,high,2.0,403,654,horizontal
91,30,842.6279069767442,412.1124031007752,0.620216128092098,high,2.0,403,654,horizontal
92,30,762.3680555555555,438.21527777777777,0.5685117220124455,high,2.0,403,654,horizontal
