diagram,branch_index,point_index,alpha,beta,rho0,L,mu,l0,show_on_2,show_on_alpha,show_on_beta,mode_k
beta,0,40,20.0,-1.99993834329383,0.4,5.0,-0.01283088492062639,-6.127806258717027e-08,True,False,True,1.0
alpha,1,71,19.865828124340364,7.946331249736146,0.4,5.0,-0.02473434330739006,-1.1251687746477788e-07,True,True,True,0.5
beta,0,470,20.0,24.00097198927103,0.4,5.0,0.014835860187899296,-2.9693341613790383e-09,True,False,True,1.25
alpha,4,0,12.0,4.800000000000001,0.4,5.0,0.011379969864347595,0.6299075829270163,False,True,False,1.25
alpha,5,25,16.141753588930936,6.456701435572374,0.4,5.0,-0.004618492541603733,11.679002560009682,False,True,False,1.5
