beta,alpha
0.0003079596565757695,16.35392920388504
0.0003273849545638156,16.25392897433511
0.0003484386294397652,16.15392895214331
0.0003707003192424091,16.053928781726913
0.00039443185977561793,15.953921682507893
0.00041960946477183933,15.853921185889112
0.00044645427572363624,15.753921095261092
0.0004751646810638614,15.653920983019502
0.0005052952460084058,15.553920811184001
0.0005375800273819791,15.453917987467253
0.0005719213798568016,15.35391775835534
0.0006084397251077737,15.253917752472587
0.0006472906134943243,15.153917703751825
0.0006886061374639624,15.053917380728233
0.0007325226056613234,14.95391573961389
0.0007792780406277851,14.853915695754687
0.0008288849409946358,14.753915650956104
0.0008818451881981413,14.653915645167796
0.0009380523196941164,14.553914710635
0.0009978557367173366,14.453884985274671
0.001061435835715314,14.353884226536035
0.0011290699478572858,14.253883797411147
0.0012009450386779692,14.153883600375073
0.0012774065934835646,14.053883398749567
0.0013587187830582778,13.95388339760747
0.0014451824784080648,13.853882925565063
0.0015371271198392968,13.75388290333264
0.0016348674796215833,13.65388266396902
0.0017388629283005966,13.553882638378097
0.0018494334673997497,13.453882567270782
0.0019669830117919535,13.353882566996306
0.0020920166768992198,13.253882567527521
0.0022249557101206756,13.153882559458703
0.002366313117038049,13.053882532687421
0.0025166592918898054,12.953882532899867
0.002676506401252139,12.853882532783597
0.002846473771257555,12.753882525625313
0.0030271983353863108,12.653882490491977
0.0032193769693465647,12.55388248841936
0.003423743366704565,12.453882452596323
0.0036410718169908435,12.353882434327673
0.0038721498213984706,12.25388243658034
0.004117920937068445,12.15388243909762
0.004379270138560185,12.053882372489513
0.004657196234627146,11.953882375933564
0.004952758228933089,11.853882379170711
0.005267083355380067,11.753882383698855
0.005601365040613787,11.653882385622982
0.0059568868233448565,11.553882370236165
0.006335029630329661,11.453882377247245
0.0063937830542391645,11.438882377229097
0.0063937830542391645,11.438882377229097
0.006505826367467187,11.410659361683434
0.006619835711770537,11.382435667371551
0.006735853305292868,11.354211973229507
0.006853904717141126,11.325988279234938
0.006974028163288518,11.29776458426179
0.007096265358244544,11.26954085834122
0.007220616716755373,11.241317163821378
0.007347066495688328,11.213093464868335
0.007475847164302493,11.184869756436477
0.007606899480979909,11.15664606117579
0.007740255904785895,11.128422367616782
0.007875958430521024,11.10019866107891
0.00801404898871684,11.07197496649258
0.008154569035619478,11.043751263324422
0.008297562836549937,11.015527564393231
0.008443074594294398,10.987303871886395
0.00859114855404705,10.95908017716786
0.008741830926340973,10.930856485064888
0.00889516792898546,10.902632785895094
0.009051207147757308,10.874409093361157
0.009209996376444905,10.846185394357574
0.009371585632446462,10.817961700542634
0.009536024311610936,10.789738008446513
0.009703365381255361,10.76151408736705
0.009873657376345784,10.733290393149458
0.01004695566173699,10.70506669475099
0.010223313234216201,10.676842996981712
0.010402787045493574,10.648619297187572
0.010585429202165347,10.620395601590813
0.010771299702285166,10.59217191022415
0.010960455197049202,10.563948202487255
0.011152955842997563,10.535724499009884
0.01134886166711434,10.507500808612985
0.011548232076642751,10.479277115540608
0.01175113194456739,10.45105342614952
0.011957624367353604,10.422829738901676
0.012167773778733824,10.394606050484162
0.012381646381805028,10.366382361662895
0.012599309430103279,10.338158671619087
0.012820832813026081,10.30993498320068
0.013046285603439702,10.281711297292803
0.013275738769356444,10.253487611346753
0.013509269582903835,10.225263923172077
0.01374694507607109,10.19703931829137
0.01401326588854387,10.165993261450927
0.014312241428574537,10.131842601700242
