diagram,branch_index,point_index,alpha,beta,rho0,L,mu,l0,mode_k
alpha,0,10,1.9999999999999998,0.7999999999999999,0.4,5.0,6.799656776198133e-23,4.548115298329595e-09,0.5
alpha,1,20,9.70787914437193,3.883151657748772,0.4,5.0,-0.023048650896041092,3.4378489316766084e-07,0.5
alpha,2,80,7.139080552921021,2.8556322211684084,0.4,5.0,0.025397618216258615,-3.8345154595709995e-09,0.5
alpha,3,15,14.92799337378014,5.971197349512057,0.4,5.0,0.012942965597003312,0.18590302464901695,1.25
alpha,4,100,11.301143306500487,4.520457322600195,0.4,5.0,-0.010467841980525281,1.2768633065084245,1.0
alpha,5,35,18.06695310213708,7.226781240854833,0.4,5.0,-0.005308756009955555,8.748240981217398,1.5
alpha,6,70,17.413912228842463,6.965564891536985,0.4,5.0,0.005701689282849062,9.632570821867565,1.5
alpha,7,30,23.346128381684522,9.33845135267381,0.4,5.0,0.0027682435017863673,28.66845199237173,2.25
alpha,8,70,23.197776667429682,9.279110666971873,0.4,5.0,-0.002633411976315161,36.16247975354081,2.0
