,alpha,L,beta_factor,rho0,poltime_mode_mean,poltime_mode_std,poltime_mode_count,poltime_dscore_mean,poltime_dscore_std,poltime_dscore_count
0,15.0,1.7205128205128206,0.5,0.4,42.092079999999996,10.505721953980288,100,,,0
1,15.0,1.7205128205128206,0.8,0.4,2.55255,2.6132919267553025,100,5.65565,1.8351666666666668,100
2,15.0,1.7205128205128206,1.0,0.4,1.4013999999999998,2.3679436461012138,100,4.25425,2.3992592896327167,100
3,15.0,1.7205128205128206,1.2,0.4,1.75175,2.3992592896327167,100,3.95395,2.494397995731858,100
4,15.0,1.7205128205128206,1.5,0.4,5.405399999999999,2.533151177661707,100,5.65565,2.6287381901251066,100
5,15.0,1.9230769230769231,0.5,0.4,5.05505,2.411881521182627,100,4.85485,2.6094160745270196,100
6,15.0,1.9230769230769231,1.5,0.4,2.3023,2.507045871139976,100,2.1021,2.482705043563035,100
7,15.0,2.1256410256410256,0.5,0.4,3.4033999999999995,2.8348281155026744,100,2.4024,2.7988972828598047,100
8,15.0,2.1256410256410256,0.8,0.4,0.4004,1.3646629213431751,100,0.4004,1.364662921343175,100
9,15.0,2.1256410256410256,1.2,0.4,0.3003,1.1946096991625899,100,0.3003,1.1946096991625899,100
10,15.0,2.1256410256410256,1.5,0.4,2.1021,2.678795728598123,100,1.3013,2.4249598163910075,100
11,15.0,2.3282051282051284,0.5,0.4,3.95395,2.95843318610826,100,3.003,3.0181285592234137,100
12,15.0,2.3282051282051284,0.8,0.4,0.35034999999999994,1.283444161881095,100,0.15015,0.8580902730288152,100
13,15.0,2.3282051282051284,1.0,0.4,0.1001,0.7042299971521299,100,0.05005,0.5005,100
14,15.0,2.3282051282051284,1.2,0.4,0.55055,1.5739025188647766,100,0.45045,1.4395555737796295,100
15,15.0,2.3282051282051284,1.5,0.4,3.55355,2.5938547515661363,100,2.35235,2.609416074527019,100
16,15.0,2.530769230769231,0.5,0.4,5.05505,2.4118815211826274,100,2.95295,3.188933681934728,100
17,15.0,2.530769230769231,0.8,0.4,0.25025,1.0963097823557395,100,0.15015,0.8580902730288154,100
18,15.0,2.530769230769231,1.0,0.4,0.2002,0.9857166597624963,100,0.0,0.0,100
19,15.0,2.530769230769231,1.2,0.4,0.95095,1.9733576082403308,100,0.5005,1.5090642796117073,100
20,15.0,2.530769230769231,1.5,0.4,6.006,2.3593796265591136,100,4.25425,2.878671689242183,100
