Experiment,Bar,L,delta_frame,avg_rho,std_rho,amplitude,pgroup,auto_classified
20240311,1,160.0,160,0.29886363636363644,0.11694611848239846,0.4,3,True
20240311,2,120.0,160,0.3666666666666667,0.22885309124793873,0.5909090909090908,2,True
20240311,3,200.0,160,0.34090909090909094,0.2719002612468691,0.7818181818181819,1,False
20240311,4,160.0,160,0.3306818181818182,0.24887920250196988,0.7636363636363636,2,True
20240311,5,160.0,160,0.2931818181818182,0.18248457423768932,0.6909090909090908,0,False
20240311,6,120.0,160,0.4265151515151515,0.21788042103320146,0.7363636363636364,1,False
20240311,7,160.0,160,0.29204545454545455,0.21851005139806146,0.6272727272727272,1,False
20240311,8,200.0,160,0.22727272727272735,0.19012827335927324,0.5454545454545455,2,False
20240311,9,200.0,160,0.27272727272727276,0.14287485132274286,0.5181818181818183,4,False
20240311,10,200.0,160,0.3072727272727273,0.1604384488449343,0.5272727272727273,0,False
20240311,11,200.0,160,0.15272727272727277,0.14242875557001525,0.5272727272727273,0,True
20240311,12,200.0,160,0.42590909090909107,0.20679120703208134,0.6909090909090909,3,False
20240311,13,160.0,160,0.3301136363636364,0.21629675126417874,0.7181818181818181,2,False
20240311,14,160.0,160,0.20284090909090913,0.15774491485039074,0.5636363636363637,2,True
20240311,15,160.0,160,0.1369318181818182,0.1021195190827197,0.4090909090909091,0,True
20240317,1,200.0,160,0.3650000000000001,0.3207851292899247,0.8636363636363635,1,True
20240317,2,200.0,160,0.5277272727272727,0.24004949558492827,0.8545454545454545,2,True
20240317,3,200.0,160,0.4586363636363636,0.20428215376558823,0.7636363636363637,2,False
20240317,4,200.0,160,0.43045454545454553,0.3494656487688332,0.9454545454545455,1,False
20240317,5,120.0,160,0.25606060606060604,0.2804176669759767,0.7636363636363637,1,True
20240317,6,120.0,160,0.3378787878787879,0.22028135444195954,0.7181818181818184,1,True
20240317,7,120.0,160,0.2401515151515152,0.19031141411758343,0.6818181818181819,2,False
20240317,8,160.0,160,0.32840909090909093,0.25872931306293173,0.7818181818181819,2,True
20240317,9,200.0,160,0.49454545454545445,0.23297217228212305,0.8090909090909091,2,True
20240317,10,200.0,160,0.46772727272727277,0.3325766549307974,0.9454545454545455,2,True
20240317,11,200.0,160,0.24454545454545454,0.17009720118579164,0.6090909090909091,3,False
20240317,12,200.0,160,0.26318181818181824,0.2159827625506449,0.6909090909090908,3,False
20240317,13,160.0,160,0.26590909090909093,0.24990700749817765,0.8272727272727274,2,True
20240317,14,120.0,160,0.16212121212121214,0.15841124659779846,0.43636363636363645,0,True
20240317,15,120.0,160,0.24318181818181825,0.21909923912241694,0.5636363636363636,1,True
20240317,16,160.0,160,0.4244318181818182,0.405727572540781,0.9545454545454546,1,True
20240317,17,120.0,160,0.33712121212121215,0.2566057940051005,0.6909090909090909,1,True
20240317,18,160.0,160,0.39375000000000004,0.2515801046789033,0.7818181818181819,1,False
20240317,19,120.0,160,0.30833333333333335,0.253636318380938,0.7272727272727271,1,True
20240317,20,120.0,160,0.4128787878787879,0.2812177948095373,0.8181818181818182,1,True
20240317,21,160.0,160,0.22500000000000003,0.1804064511133285,0.5909090909090909,2,True
20240317,22,200.0,160,0.4540909090909091,0.22527256218351863,0.790909090909091,1,False
20240317,23,200.0,160,0.29909090909090913,0.22109606752355448,0.7636363636363637,3,True
20240317,24,200.0,160,0.42727272727272725,0.19200981379877777,0.7909090909090909,1,True
20240317,25,200.0,160,0.32772727272727276,0.23224515047112473,0.6909090909090909,2,True
20240317,26,200.0,160,0.37363636363636366,0.24405154583569716,0.6545454545454547,1,True
20240317,27,200.0,160,0.4827272727272728,0.21329566644053988,0.8090909090909092,3,False
20240317,28,200.0,160,0.1904545454545455,0.16187116088813577,0.5818181818181819,0,True
20240317,29,160.0,160,0.2596590909090909,0.25454482041317117,0.7363636363636364,1,True
20240317,30,160.0,160,0.4011363636363637,0.2470251727059678,0.7454545454545454,1,True
20240317,31,160.0,160,0.29147727272727275,0.25921983933199594,0.6727272727272728,2,True
20240320,1,120.0,160,0.6257575757575758,0.31236751094126886,1.090909090909091,1,False
20240320,2,120.0,160,0.36515151515151506,0.31097539017839076,0.8,1,True
20240320,3,160.0,160,0.33522727272727276,0.2542180321126723,0.7272727272727273,1,False
20240320,4,120.0,160,0.24696969696969706,0.13761212975344897,0.4272727272727273,2,True
20240320,5,160.0,160,0.6420454545454546,0.3801760548017564,1.2181818181818183,1,False
20240320,6,120.0,160,0.28257575757575754,0.2199254298029513,0.7636363636363636,1,True
20240320,7,120.0,160,0.0825757575757576,0.09333566998255677,0.27272727272727276,0,True
20240320,8,200.0,160,0.1381818181818182,0.1736482623243448,0.5818181818181818,0,True
20240320,9,200.0,160,0.2727272727272727,0.21368471406442105,0.7909090909090908,3,False
20240320,10,200.0,160,0.1431818181818182,0.20791914750889695,0.709090909090909,0,True
20240320,11,200.0,160,0.37545454545454543,0.3777062131751004,1.0090909090909093,2,True
20240320,12,200.0,160,0.26136363636363635,0.2769502595792099,0.7818181818181817,2,True
20240320,13,160.0,160,0.7284090909090909,0.3308496918466773,1.1636363636363638,1,False
20240320,14,160.0,160,0.28352272727272726,0.26369941937932234,0.8090909090909091,1,True
